DATE,AAPL,AMZN,BA,DWDP,JNJ,JPM,NEE,PG,SPG,VZ,XOM
7/25/1990,0.16534374,NaN,16.15131075,2.644024283,4.808917843,3.301730417,2.268118557,5.553116657,NaN,6.196559977,1.941344615
7/26/1990,0.162373858,NaN,16.36429926,2.695868294,4.867358743,3.301730749,2.277811371,5.561186669,NaN,6.179903222,1.897222465
7/27/1990,0.160393705,NaN,16.57727634,2.708829974,4.81726637,3.249596756,2.287504552,5.528901444,NaN,6.09661699,1.916832843
7/30/1990,0.161383432,NaN,16.36430769,2.682907926,4.717081466,3.197465414,2.297197909,5.488544173,NaN,6.096615724,1.926637005
7/31/1990,0.164353849,NaN,16.22231002,2.663467982,4.700384365,3.18008634,2.355354367,5.553116657,NaN,6.379791002,1.990367552
8/1/1990,0.164353711,NaN,15.79634559,2.592181972,4.666988913,2.971559436,2.326274516,5.504686225,NaN,6.563023013,2.029587842
8/2/1990,0.163363289,NaN,14.9799026,2.462572136,4.575149375,2.936802,2.306891082,5.302901612,NaN,6.39645268,2.078612225
8/3/1990,0.157422574,NaN,14.16346648,2.287601046,4.29964119,2.815159418,2.316583183,4.947762453,NaN,6.329820474,2.083515
8/6/1990,0.152472702,NaN,14.26995719,2.320002779,4.207805438,2.763027614,2.28750437,4.818619879,NaN,6.06330002,2.088415922
8/7/1990,0.153462832,NaN,14.48293979,2.345923293,4.299641274,3.058443772,2.277812182,4.9074051,NaN,6.096616,2.154307869
8/8/1990,0.156432735,NaN,14.76692762,2.352405142,4.366429607,3.093199058,2.277811371,5.028476359,NaN,6.079956996,2.097885478
8/9/1990,0.155442981,NaN,15.0154066,2.365365273,4.449919366,3.249596439,2.287504186,5.076904961,NaN,6.096614753,2.103014482
8/10/1990,0.151482738,NaN,14.97990141,2.33296414,4.341383667,3.24959907,2.277811,5.044619523,NaN,6.046643743,2.113273695
8/13/1990,0.149997411,NaN,14.72958124,2.320002779,4.358081154,3.214845069,2.268118187,5.101118422,NaN,6.013327773,2.087627334
8/14/1990,0.155442853,NaN,14.836573,2.294079498,4.449920449,3.319107666,2.277812182,5.206044426,NaN,6.013328278,2.133789397
8/15/1990,0.155443,NaN,14.90790516,2.307041137,4.573097989,3.266974,2.297197,5.383616611,NaN,6.113272023,2.128660697
8/16/1990,0.152473,NaN,14.444264,2.281120647,4.489185,3.214843,2.277811,5.197972614,NaN,6.013330478,2.118402696
8/17/1990,0.141581832,NaN,13.58831296,2.229276493,4.304584947,3.197465748,2.258425374,4.858975156,NaN,5.963354759,2.108144173
8/20/1990,0.156792364,NaN,13.65964268,2.235757492,4.354932992,3.16271,2.258425374,5.036548217,NaN,5.98001573,2.144048787
8/21/1990,0.152467711,NaN,12.83934049,2.177433296,4.178718975,3.110576339,2.229348182,4.778263737,NaN,5.763466526,2.123531696
8/22/1990,0.150845738,NaN,12.80368514,2.216316,4.187110988,3.093201741,2.209962,4.77826261,NaN,5.63020801,2.108143
8/23/1990,0.144897731,NaN,12.09038016,2.099666787,4.027681971,2.988935,2.122726735,4.568407824,NaN,5.380344804,2.031203698
8/24/1990,0.150304972,NaN,12.37569922,2.138550128,4.07802796,2.954180329,2.054875892,4.52804857,NaN,5.263745698,1.990170087
8/27/1990,0.156793064,NaN,13.65963364,2.216316139,4.296194971,2.971559062,2.217,4.842834267,NaN,5.630208262,2.005557186
8/28/1990,0.161118341,NaN,13.62397115,2.164473135,4.312975985,2.95418,2.216997723,4.858973614,NaN,5.496950209,2.031203491
8/29/1990,0.158955359,NaN,13.58829955,2.164472266,4.31297692,2.936802,2.206874445,4.939692674,NaN,5.513605279,2.020946471
8/30/1990,0.155711617,NaN,13.69529932,2.125589,4.354929996,2.90204667,2.166384129,4.875119659,NaN,5.413659257,2.000428696
8/31/1990,0.155711591,NaN,13.51697511,2.112629365,4.329758949,2.919426447,2.166382862,4.850902229,NaN,5.430317582,2.005557278
9/4/1990,0.157874235,NaN,13.58830036,2.145031034,4.329756,2.988937116,2.186629431,4.915475343,NaN,5.563578998,2.046591397
9/5/1990,0.154629743,NaN,13.69529403,2.138550492,4.413666,3.058443772,2.196751168,5.004260612,NaN,5.58023626,2.046592563
9/6/1990,0.15246736,NaN,13.30298777,2.145031,4.296193977,3.075821339,2.206876712,4.875117902,NaN,5.446981002,2.061980695
9/7/1990,0.15192635,NaN,13.1603271,2.145031,4.329758949,3.075821852,2.196753425,4.939690327,NaN,5.530263503,2.051721867
9/10/1990,0.15463,NaN,13.40998544,2.099667633,4.346539985,3.098419829,2.18663071,4.891259153,NaN,5.363689957,2.06711
9/11/1990,0.145979617,NaN,13.44564761,2.080226034,4.346541985,3.062599916,2.186629431,4.971974613,NaN,5.596893227,2.072239086
